Edge		Weight
0 - 1		5
1 - 0		5
1 - 2		10
2 - 0		5
2 - 1		10
2 - 3		10
3 - 0		5
3 - 1		10
3 - 2		10
3 - 4		10
4 - 0		5
4 - 1		10
4 - 2		10
4 - 3		10
4 - 5		10
5 - 0		5
5 - 1		10
5 - 2		10
5 - 3		10
5 - 4		10
5 - 6		10
6 - 0		5
6 - 1		2
6 - 2		8
6 - 3		10
6 - 4		10
6 - 5		10
6 - 7		2
7 - 0		5
7 - 1		4
7 - 2		6
7 - 3		10
7 - 4		10
7 - 5		10
7 - 6		2
7 - 8		2
8 - 0		5
8 - 1		6
8 - 2		4
8 - 3		10
8 - 4		10
8 - 5		10
8 - 6		4
8 - 7		2
8 - 9		2
9 - 0		5
9 - 1		8
9 - 2		2
9 - 3		10
9 - 4		10
9 - 5		10
9 - 6		6
9 - 7		4
9 - 8		2
9 - 10		4
10 - 0		5
10 - 1		10
10 - 2		2
10 - 3		8
10 - 4		10
10 - 5		10
10 - 6		10
10 - 7		8
10 - 8		6
10 - 9		4
10 - 11		2
11 - 0		5
11 - 1		10
11 - 2		4
11 - 3		6
11 - 4		10
11 - 5		10
11 - 6		10
11 - 7		10
11 - 8		8
11 - 9		6
11 - 10		2
11 - 12		2
12 - 0		5
12 - 1		10
12 - 2		6
12 - 3		4
12 - 4		10
12 - 5		10
12 - 6		10
12 - 7		10
12 - 8		10
12 - 9		8
12 - 10		4
12 - 11		2
12 - 13		2
13 - 0		5
13 - 1		10
13 - 2		8
13 - 3		2
13 - 4		10
13 - 5		10
13 - 6		10
13 - 7		10
13 - 8		10
13 - 9		10
13 - 10		6
13 - 11		4
13 - 12		2
13 - 14		4
14 - 0		5
14 - 1		10
14 - 2		10
14 - 3		2
14 - 4		8
14 - 5		10
14 - 6		10
14 - 7		10
14 - 8		10
14 - 9		10
14 - 10		10
14 - 11		8
14 - 12		6
14 - 13		4
14 - 15		2
15 - 0		5
15 - 1		10
15 - 2		10
15 - 3		4
15 - 4		6
15 - 5		10
15 - 6		10
15 - 7		10
15 - 8		10
15 - 9		10
15 - 10		10
15 - 11		10
15 - 12		8
15 - 13		6
15 - 14		2
15 - 16		2
16 - 0		5
16 - 1		10
16 - 2		10
16 - 3		6
16 - 4		4
16 - 5		10
16 - 6		10
16 - 7		10
16 - 8		10
16 - 9		10
16 - 10		10
16 - 11		10
16 - 12		10
16 - 13		8
16 - 14		4
16 - 15		2
16 - 17		2
17 - 0		5
17 - 1		10
17 - 2		10
17 - 3		8
17 - 4		2
17 - 5		10
17 - 6		10
17 - 7		10
17 - 8		10
17 - 9		10
17 - 10		10
17 - 11		10
